name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,variantAssets,variantFacets,stockOnHand
Notebook Lenovo IdeaPad 3,notebook-lenovo-ideapad-3,"Notebook Lenovo IdeaPad 3 con pantalla de 15.6 pulgadas Full HD, procesador Intel Core i5 de undécima generación, 8GB RAM DDR4 y 512GB SSD NVMe. Teclado retroiluminado, conectividad Wi-Fi 6 y batería de hasta 7 horas. Ideal para trabajo y estudio.",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800,Categoría:Computadores|Marca:Lenovo|Procesador:Intel Core i5 11a Gen|Memoria:8GB DDR4|Almacenamiento:512GB SSD NVMe|Pantalla:15.6 Full HD|Conectividad:Wi-Fi 6|Autonomía:Hasta 7 horas|Subcategoría:Laptops Productividad,,,LENOVO-IDEAPAD3,549990,Standard Tax,,,8
MacBook Air M2,macbook-air-m2,"Apple MacBook Air con chip M2 de 8 núcleos, pantalla Liquid Retina de 13.6 pulgadas con 500 nits de brillo, 8GB de memoria unificada y 256GB de almacenamiento SSD. Diseño ultraligero de 1.24 kg, silencioso sin ventilador y hasta 18 horas de batería.",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800,Categoría:Computadores|Marca:Apple|Procesador:Apple M2|Memoria:8GB unificada|Almacenamiento:256GB SSD|Pantalla:13.6 Liquid Retina|Autonomía:Hasta 18 horas|Peso:1.24 kg|Subcategoría:Laptops Productividad,,,MACBOOK-AIR-M2,1099990,Standard Tax,,,7
MacBook Pro M3 14'',macbook-pro-m3-14,"MacBook Pro con chip M3 Pro de 12 núcleos, pantalla Liquid Retina XDR de 14.2 pulgadas con ProMotion hasta 120Hz, 18GB de memoria unificada y 512GB SSD. Con HDMI, SD card reader y MagSafe 3. Para profesionales creativos.",https://images.unsplash.com/photo-1611186871348-b1ce696e52c9?w=800,Categoría:Computadores|Marca:Apple|Procesador:Apple M3 Pro|Memoria:18GB unificada|Almacenamiento:512GB SSD|Pantalla:14.2 Liquid Retina XDR|Frecuencia:ProMotion 120Hz|Puertos:HDMI + SD + MagSafe 3|Subcategoría:Laptops Gama Alta,,,MACBOOK-PRO-M3,1799990,Standard Tax,,,5
Notebook HP Pavilion 15,notebook-hp-pavilion-15,"Notebook HP Pavilion con procesador AMD Ryzen 7 5700U, pantalla Full HD de 15.6 pulgadas IPS, 16GB RAM DDR4, 512GB SSD y tarjeta gráfica AMD Radeon integrada. Windows 11 incluido. Diseño moderno en aluminio plata.",https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=800,Categoría:Computadores|Marca:HP|Procesador:AMD Ryzen 7 5700U|Memoria:16GB DDR4|Almacenamiento:512GB SSD|Pantalla:15.6 Full HD IPS|Gráficos:AMD Radeon integrada|Sistema:Windows 11|Subcategoría:Laptops Productividad,,,HP-PAVILION15,599990,Standard Tax,,,9
PC Escritorio Gamer ASUS ROG,pc-escritorio-gamer-asus-rog,"PC Gamer ASUS ROG con procesador Intel Core i7-13700K, 32GB RAM DDR5, RTX 4070 Ti 12GB, SSD NVMe 1TB y fuente 750W 80 Plus Gold. Gabinete con iluminación ARGB y 3 ventiladores incluidos.",https://images.unsplash.com/photo-1587202372775-e229f172b9d7?w=800,Categoría:Computadores|Marca:ASUS|Procesador:Intel Core i7-13700K|Memoria:32GB DDR5|Gráficos:NVIDIA RTX 4070 Ti 12GB|Almacenamiento:1TB SSD NVMe|Fuente:750W 80 Plus Gold|Extras:Iluminación ARGB|Subcategoría:Laptops Gama Alta,,,ASUS-ROG-PC,2499990,Standard Tax,,,6
Monitor LG UltraWide 34'',monitor-lg-ultrawide-34,"Monitor LG UltraWide de 34 pulgadas con resolución WQHD 3440x1440, panel IPS curvo 1800R, 144Hz, 1ms GtG, HDR10, AMD FreeSync Premium. Perfecto para multitarea, gaming y contenido creativo.",https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=800,Categoría:Monitores|Marca:LG|Pantalla:34 pulgadas|Resolución:WQHD 3440x1440|Panel:IPS|Curvatura:1800R|Frecuencia:144Hz|Respuesta:1ms GtG|HDR:HDR10,,,LG-UW34,499990,Standard Tax,,,8
Monitor Samsung 27'' Curvo,monitor-samsung-27-curvo,"Monitor curvo Samsung de 27 pulgadas, resolución Full HD 1080p, panel VA, 75Hz, tiempo de respuesta 4ms, AMD FreeSync, flicker free y Eye Saver Mode. Conector HDMI y DisplayPort incluidos.",https://images.unsplash.com/photo-1585792180666-f7347c490ee2?w=800,Categoría:Monitores|Marca:Samsung|Pantalla:27 pulgadas|Resolución:Full HD|Panel:VA|Curvatura:Diseño curvo|Frecuencia:75Hz|Respuesta:4ms|Extras:Eye Saver Mode,,,SAMSUNG-MON27C,229990,Standard Tax,,,10
Teclado Mecánico Redragon Kumara,teclado-mecanico-redragon-kumara,"Teclado mecánico compacto TKL con switches red (lineales), retroiluminación RGB personalizable, construcción en aluminio y plástico ABS. Layout en español latinoamericano con Ñ. Compatible con Windows y Mac.",https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?w=800,Categoría:Periféricos|Marca:Redragon|Formato:TKL|Switches:Red lineales|Conectividad:USB cableado|Layout:Español LATAM|Iluminación:RGB,,,REDRAGON-KUMARA,39990,Standard Tax,,,35
Teclado Mecánico Keychron K2,teclado-mecanico-keychron-k2,"Teclado mecánico inalámbrico 75% con switches Gateron Brown, retroiluminación RGB, batería de 4000mAh, conexión Bluetooth 5.1 para 3 dispositivos o USB-C. Compatible con Mac y Windows. Aluminio anodizado.",https://images.unsplash.com/photo-1616348436168-de43ad0db179?w=800,Categoría:Periféricos|Marca:Keychron|Formato:75%|Switches:Gateron Brown|Conectividad:Bluetooth 5.1 + USB-C|Batería:4000mAh|Compatibilidad:Mac y Windows|Iluminación:RGB,,,KEYCHRON-K2,129990,Standard Tax,,,28
Mouse Logitech G502 Hero,mouse-logitech-g502-hero,"Mouse gaming Logitech G502 HERO con sensor óptico HERO 25K de 25.600 DPI, 11 botones programables, pesas ajustables de 18g, cable ultraligero y software G HUB para personalización completa.",https://images.unsplash.com/photo-1527814050087-3793815479db?w=800,Categoría:Periféricos|Marca:Logitech|Sensor:HERO 25K|DPI:25600|Botones:11 programables|Conectividad:USB cableado|Ajuste:Pesas de 18g,,,LOGI-G502,49990,Standard Tax,,,40
